image_id,lesion_area_px,total_area_px,relative_size
ISIC_0024698,12042.0,270000.0,0.0446
ISIC_0024693,87187.0,270000.0,0.3229148148148148
ISIC_0032212,33971.0,270000.0,0.12581851851851852
ISIC_0025775,61490.0,270000.0,0.22774074074074074
ISIC_0029828,98418.0,270000.0,0.3645111111111111
ISIC_0031588,101610.0,270000.0,0.37633333333333335
ISIC_0028502,119341.0,270000.0,0.4420037037037037
ISIC_0028239,60373.0,270000.0,0.2236037037037037
ISIC_0031325,66320.0,270000.0,0.24562962962962964
ISIC_0032115,44043.0,270000.0,0.16312222222222222
ISIC_0025251,54906.0,270000.0,0.20335555555555557
ISIC_0025843,61155.0,270000.0,0.2265
ISIC_0031503,254949.0,270000.0,0.9442555555555555
ISIC_0025384,178207.0,270000.0,0.6600259259259259
ISIC_0032446,75780.0,270000.0,0.2806666666666667
ISIC_0032285,59441.0,270000.0,0.22015185185185185
ISIC_0027347,34267.0,270000.0,0.1269148148148148
ISIC_0029979,28682.0,270000.0,0.10622962962962963
ISIC_0029624,80918.0,270000.0,0.2996962962962963
ISIC_0024415,172383.0,270000.0,0.6384555555555556
ISIC_0025311,60168.0,270000.0,0.22284444444444446
ISIC_0026425,85486.0,270000.0,0.3166148148148148
ISIC_0026555,89941.0,270000.0,0.3331148148148148
ISIC_0031282,77212.0,270000.0,0.2859703703703704
ISIC_0029961,37302.0,270000.0,0.13815555555555556
ISIC_0026583,25387.0,270000.0,0.09402592592592593
ISIC_0032226,19047.0,270000.0,0.07054444444444445
ISIC_0031536,50270.0,270000.0,0.18618518518518518
ISIC_0026681,54693.0,270000.0,0.20256666666666667
ISIC_0026780,35256.0,270000.0,0.13057777777777776
ISIC_0025218,74568.0,270000.0,0.2761777777777778
ISIC_0026211,64639.0,270000.0,0.2394037037037037
ISIC_0025457,130974.0,270000.0,0.4850888888888889
ISIC_0029594,122710.0,270000.0,0.4544814814814815
ISIC_0031575,92329.0,270000.0,0.34195925925925924
ISIC_0028266,26610.0,270000.0,0.09855555555555555
ISIC_0032060,40474.0,270000.0,0.1499037037037037
ISIC_0029303,59093.0,270000.0,0.21886296296296295
ISIC_0026054,59181.0,270000.0,0.21918888888888888
ISIC_0029347,141302.0,270000.0,0.5233407407407408
ISIC_0028727,110429.0,270000.0,0.4089962962962963
ISIC_0027315,26596.0,270000.0,0.0985037037037037
ISIC_0028455,93120.0,270000.0,0.3448888888888889
ISIC_0030435,92078.0,270000.0,0.3410296296296296
ISIC_0024535,141028.0,270000.0,0.522325925925926
ISIC_0026824,51983.0,270000.0,0.19252962962962963
ISIC_0024968,16508.0,270000.0,0.06114074074074074
ISIC_0025320,43786.0,270000.0,0.16217037037037038
ISIC_0031184,84859.0,270000.0,0.31429259259259257
ISIC_0024828,115681.0,270000.0,0.42844814814814813
ISIC_0027725,138362.0,270000.0,0.5124518518518518
ISIC_0028298,44718.0,270000.0,0.16562222222222223
ISIC_0024364,32018.0,270000.0,0.11858518518518518
ISIC_0031269,34296.0,270000.0,0.12702222222222223
ISIC_0025398,10319.0,270000.0,0.03821851851851852
ISIC_0030035,10524.0,270000.0,0.03897777777777778
ISIC_0031403,28534.0,270000.0,0.10568148148148149
ISIC_0026011,21903.0,270000.0,0.08112222222222222
ISIC_0026518,53644.0,270000.0,0.1986814814814815
ISIC_0030993,19111.0,270000.0,0.07078148148148149
ISIC_0027479,24127.0,270000.0,0.08935925925925926
ISIC_0031068,64580.0,270000.0,0.2391851851851852
ISIC_0025338,29515.0,270000.0,0.10931481481481481
ISIC_0030791,46398.0,270000.0,0.17184444444444444
ISIC_0031463,46404.0,270000.0,0.17186666666666667
ISIC_0027944,56411.0,270000.0,0.20892962962962963
ISIC_0031974,15454.0,270000.0,0.05723703703703704
ISIC_0024896,5476.0,270000.0,0.02028148148148148
ISIC_0029153,84134.0,270000.0,0.3116074074074074
ISIC_0028480,128625.0,270000.0,0.47638888888888886
ISIC_0030517,147072.0,270000.0,0.5447111111111111
ISIC_0031455,132360.0,270000.0,0.4902222222222222
ISIC_0026768,51008.0,270000.0,0.1889185185185185
ISIC_0029569,103035.0,270000.0,0.3816111111111111
ISIC_0029351,78078.0,270000.0,0.28917777777777776
ISIC_0024376,27804.0,270000.0,0.10297777777777778
ISIC_0030102,19456.0,270000.0,0.07205925925925925
ISIC_0031486,46441.0,270000.0,0.17200370370370371
ISIC_0029526,14280.0,270000.0,0.05288888888888889
ISIC_0028446,20836.0,270000.0,0.07717037037037038
ISIC_0031895,45893.0,270000.0,0.16997407407407408
ISIC_0030072,57854.0,270000.0,0.21427407407407406
ISIC_0025723,90411.0,270000.0,0.3348555555555556
ISIC_0024872,112395.0,270000.0,0.4162777777777778
ISIC_0031935,96757.0,270000.0,0.35835925925925927
ISIC_0030820,127215.0,270000.0,0.4711666666666667
ISIC_0032210,173920.0,270000.0,0.6441481481481481
ISIC_0031845,66629.0,270000.0,0.24677407407407406
ISIC_0027278,188538.0,270000.0,0.6982888888888888
ISIC_0026641,147376.0,270000.0,0.545837037037037
ISIC_0028185,128738.0,270000.0,0.4768074074074074
ISIC_0028090,73975.0,270000.0,0.2739814814814815
ISIC_0028879,37019.0,270000.0,0.1371074074074074
ISIC_0030148,88743.0,270000.0,0.3286777777777778
ISIC_0029540,112807.0,270000.0,0.4178037037037037
ISIC_0028924,22781.0,270000.0,0.08437407407407407
ISIC_0032016,155264.0,270000.0,0.5750518518518518
ISIC_0032048,193653.0,270000.0,0.7172333333333333
ISIC_0026255,24605.0,270000.0,0.09112962962962963
ISIC_0030013,145167.0,270000.0,0.5376555555555556
ISIC_0031371,98358.0,270000.0,0.3642888888888889
