image_id,anomaly_score
ISIC_0024698,0.07300764322280884
ISIC_0024693,0.08197112381458282
ISIC_0032212,0.20359475910663605
ISIC_0025775,0.04760138317942619
ISIC_0029828,0.11901400983333588
ISIC_0031588,0.11092405766248703
ISIC_0028502,0.07790739089250565
ISIC_0028239,0.1366715431213379
ISIC_0031325,0.12416886538267136
ISIC_0032115,0.03951526805758476
ISIC_0025251,0.03620268404483795
ISIC_0025843,0.04722446948289871
ISIC_0031503,0.10314902663230896
ISIC_0025384,0.13969379663467407
ISIC_0032446,0.1845480501651764
ISIC_0032285,0.145631805062294
ISIC_0027347,0.041565850377082825
ISIC_0029979,0.06053830310702324
ISIC_0029624,0.08349863439798355
ISIC_0024415,0.10234694927930832
ISIC_0025311,0.13224288821220398
ISIC_0026425,0.10086279362440109
ISIC_0026555,0.09759137034416199
ISIC_0031282,0.10255497694015503
ISIC_0029961,0.26932549476623535
ISIC_0026583,0.09405241161584854
ISIC_0032226,0.1423700749874115
ISIC_0031536,0.06518866866827011
ISIC_0026681,0.23786970973014832
ISIC_0026780,0.19710496068000793
ISIC_0025218,0.053896110504865646
ISIC_0026211,0.23115657269954681
ISIC_0025457,0.1349455714225769
ISIC_0029594,0.12763196229934692
ISIC_0031575,0.11147795617580414
ISIC_0028266,0.09573869407176971
ISIC_0032060,0.2980134189128876
ISIC_0029303,0.11698741465806961
ISIC_0026054,0.23750127851963043
ISIC_0029347,0.1385435312986374
ISIC_0028727,0.10206925868988037
ISIC_0027315,0.16764886677265167
ISIC_0028455,0.17284801602363586
ISIC_0030435,0.09113308787345886
ISIC_0024535,0.13111001253128052
ISIC_0026824,0.3048068881034851
ISIC_0024968,0.01833684928715229
ISIC_0025320,0.08899001032114029
ISIC_0031184,0.09713004529476166
ISIC_0024828,0.026200927793979645
ISIC_0027725,0.15719284117221832
ISIC_0028298,0.06584064662456512
ISIC_0024364,0.047700949013233185
ISIC_0031269,0.11768461763858795
ISIC_0025398,0.05830428749322891
ISIC_0030035,0.11500711739063263
ISIC_0031403,0.0786907821893692
ISIC_0026011,0.12995381653308868
ISIC_0026518,0.1384565830230713
ISIC_0030993,0.034704241901636124
ISIC_0027479,0.07014831155538559
ISIC_0031068,0.023998018354177475
ISIC_0025338,0.05907123163342476
ISIC_0030791,0.06206222623586655
