pair,idx,label,msp_score,odin_score,energy_score,mds_score,knn_score,vim_score,gradnorm_score,residual_score,she_score,nnguide_score,fdbd_score,dice_score,ash_score
smoke_NIH_vs_VinDr,0,0,0.185893,0.498962,-3.187217,121259992.0,1.417261,16843174.0,0.025308,34.712849,-0.030948,-125.401009,1145.440796,-2.980321,-4.809532
smoke_NIH_vs_VinDr,1,0,0.143732,0.498957,-3.504632,128707400.0,1.446988,17317940.0,0.025531,35.691319,0.019984,-731119.125,1133.840454,-3.200362,-4.821629
smoke_NIH_vs_VinDr,2,0,0.127724,0.498947,-3.422254,133236096.0,1.457358,17601394.0,0.026843,36.275501,0.005857,-447.369843,321.679626,-4.77794,-4.807663
smoke_NIH_vs_VinDr,3,0,0.228663,0.498969,-3.226854,132796552.0,1.416239,17648122.0,0.027023,36.371803,-0.027949,-137.225708,410.122986,-3.595956,-4.637925
smoke_NIH_vs_VinDr,4,1,0.253666,0.499692,-2.502614,366521952.0,1.421156,29298480.0,0.040039,60.382545,-0.017613,-135.092224,10.62423,3.703853,-1.451187
smoke_NIH_vs_VinDr,5,1,0.382681,0.499706,-2.311876,337351040.0,1.438269,28081932.0,0.041153,57.875309,-0.034071,-86.549492,9.615286,3.518551,-1.432156
smoke_NIH_vs_VinDr,6,1,0.189396,0.499701,-2.872626,333314880.0,1.418144,27900224.0,0.039635,57.50082,-0.05298,-79.26532,13.51149,2.769234,-1.425191
smoke_NIH_vs_VinDr,7,1,0.306682,0.499695,-2.272398,358505376.0,1.438375,28928572.0,0.038854,59.620186,-0.033641,-85.124565,14.900291,3.07773,-1.441137
smoke_NIH_vs_VinDr,8,1,0.22592,0.499696,-2.748597,360278464.0,1.4376,28970930.0,0.041943,59.707485,-0.026389,-117.931183,12.016578,2.560167,-1.460252
smoke_NIH_vs_VinDr,9,1,0.392211,0.499706,-2.219335,369077024.0,1.41693,29376518.0,0.042456,60.543381,-0.026233,-96.127785,10.729189,2.501163,-1.44147
smoke_NIH_vs_VinDr,10,1,0.272243,0.499712,-2.592241,357865920.0,1.426128,28911748.0,0.042919,59.585514,-0.022697,-120.728203,10.171561,2.771811,-1.432798
smoke_NIH_vs_VinDr,11,1,0.314393,0.499697,-2.236763,359590720.0,1.441084,28936332.0,0.039315,59.636181,-0.031787,-85.413055,16.01326,1.682749,-1.439475
