bb_idx,MT_MHCnuggets,WT_MHCnuggets
0,-5451.7,-5446.88
1,-1345.31,-4973.02
2,-37876.52,-38339.86
3,-13843.01,-27405.05
4,-37078.0,-37349.12
5,-877.88,-562.03
6,-5382.4,-5423.04
7,-3418.5,-4263.58
8,-37171.94,-38874.0
9,-133.87,-1407.39
10,-42084.44,-37210.62
11,-371.31,-1266.31
12,-5407.47,-5403.83
13,-865.36,-601.01
14,-38068.03,-38400.31
15,-9198.75,-21786.75
16,-10231.57,-22455.01
17,-20.38,-33.66
18,-5414.6,-5405.35
19,-5592.42,-5662.51
20,-38438.53,-37570.82
21,-29432.46,-31457.71
22,-42620.3,-43683.38
23,-3427.82,-5680.48
24,-5410.68,-5415.47
25,-5649.25,-5652.51
26,-37468.92,-37554.27
27,-531.05,-402.25
28,-26603.0,-26624.07
29,-8881.68,-5282.76
30,-5346.47,-5399.57
31,-5609.3,-5641.54
32,-31225.74,-37459.48
33,-35693.84,-36401.43
34,-138.44,-33877.07
35,-180.64,-283.04
36,-5288.58,-5269.97
37,-5569.17,-5569.3
38,-31928.77,-28874.87
39,-14.96,-39.77
40,-13159.75,-13419.94
41,-1373.33,-3269.4
42,-5376.39,-5375.98
43,-5593.26,-5580.16
44,-168.9,-63.58
45,-32559.31,-26685.98
46,-502.61,-302.35
47,-347.48,-631.79
48,-5408.86,-5412.32
49,-5604.16,-5612.95
50,-39075.94,-38972.81
51,-38.15,-22.93
52,-31306.9,-31172.3
53,-9031.16,-13053.13
54,-5356.28,-5374.64
55,-5602.08,-5599.86
56,-114.94,-1175.49
57,-28089.19,-29785.21
58,-12936.27,-4922.18
59,-5658.55,-5794.11
60,-5326.67,-5331.52
61,-5669.3,-5794.99
62,-34169.1,-32862.25
63,-16977.46,-25011.73
64,-413.05,-993.82
65,-42.95,-33.37
66,-3966.55,-5271.42
67,-5630.95,-5643.42
68,-38006.14,-38164.16
69,-34875.64,-33564.95
70,-12640.7,-25761.57
71,-1815.65,-4593.41
72,-4253.42,-4612.99
73,-5560.21,-5560.48
74,-31252.9,-32556.41
75,-31737.38,-24760.17
76,-697.28,-453.86
77,-13.92,-31.09
78,-29389.66,-28628.33
79,-636.47,-1222.9
80,-7065.82,-6871.92
