bb_idx,MT_MHCSeqNet,WT_MHCSeqNet
0,0.075057596,0.066847235
1,0.9963273,0.9478191
2,9.089708e-06,9.119511e-06
3,0.0035009682,0.0024808347
4,0.0364998,0.07947603
5,0.014021695,0.046919614
6,0.00286296,0.0015420914
7,0.99930954,0.9995171
8,4.23193e-06,4.827976e-06
9,0.26005077,0.047804683
10,0.020261973,0.0523324
11,0.01801759,0.019480616
12,0.2191959,0.17368236
13,0.98602426,0.9830103
14,0.000110179186,2.0891428e-05
15,0.13300568,0.028193712
16,0.23537585,0.11815244
17,0.27720684,0.030957162
18,0.3390922,0.5341165
19,0.4663304,0.08117309
20,0.00018808246,1.3917685e-05
21,0.72340417,0.54319274
22,0.5831376,0.6984451
23,0.7327206,0.89386946
24,0.07981083,0.08827141
25,0.0034521818,0.002635181
26,2.9921532e-05,3.439188e-05
27,0.9946587,0.993559
28,0.58196175,0.63273716
29,0.81132305,0.7913628
30,0.4710469,0.12053993
31,0.09723753,0.09970352
32,0.033346772,0.00025260448
33,0.2643701,0.14704031
34,0.9990104,0.9626193
35,0.9318793,0.9891839
36,0.84072614,0.9151955
37,0.0016444921,0.0017873347
38,0.0032710135,0.010030389
39,0.9999975,0.9999984
40,0.97955954,0.9725386
41,0.9353112,0.8607752
42,0.20353308,0.088328004
43,0.0038700402,0.0032622218
44,0.9917971,0.9627541
45,0.32003105,0.3257162
46,0.99733317,0.9926652
47,0.87607384,0.77063566
48,0.020960689,0.0026153326
49,0.011963129,0.011097491
50,6.1690807e-06,7.1525574e-07
51,0.99999523,0.99997926
52,0.71318424,0.53967285
53,0.8787534,0.8028489
54,0.28293037,0.49121347
55,0.00066933036,0.0033693314
56,0.97166,0.9564744
57,0.26286662,0.70503116
58,0.96136,0.9939899
59,0.5017558,0.9414903
60,0.927158,0.94577837
61,0.11494863,0.19248202
62,0.024877757,0.17344838
63,0.04439825,0.064222574
64,0.9984971,0.9782125
65,0.675077,0.49976474
66,0.9736742,0.36043847
67,0.00044587255,0.00059333444
68,3.0696392e-06,0.0003399551
69,0.005777836,0.06789896
70,0.99269605,0.98495495
71,0.6261111,0.68270046
72,0.9513692,0.956494
73,0.0006133616,0.00067579746
74,0.00038823485,0.00066041946
75,0.04250279,0.06295872
76,0.88191456,0.90968376
77,0.09613404,0.095454246
78,0.0012722015,0.010281533
79,0.9988097,0.99824584
80,0.5042061,0.8527411
81,0.51693386,0.096734434
82,0.10560134,0.0012966096
83,0.32886106,0.4113064
84,0.9988427,0.22544414
85,0.8719866,0.22611609
86,0.8750094,0.8209834
87,3.5256147e-05,0.0008273423
88,0.988712,0.9874852
89,0.9975339,0.99855304
90,0.01119858,0.01686117
91,0.99621314,0.99337757
92,0.62313884,0.44989505
93,0.99789184,0.99929297
94,0.00010204315,8.761883e-06
95,0.037652105,0.072571754
96,0.9879003,0.7956797
97,0.10275012,0.01287061
98,0.15315643,0.2358203
99,0.9641744,0.9628816
100,0.33141965,0.19048747
101,0.3963327,0.38906896
102,0.0022506714,0.002297312
103,0.96690816,0.8012503
104,0.07481027,0.08709407
105,0.9995252,0.9990771
106,0.414498,0.435366
107,0.1386568,0.1667521
108,0.9942664,0.6178508
109,0.93770516,0.6531093
110,0.09240317,0.88389766
111,0.00027117133,0.00060763955
112,0.9960692,0.99064326
113,0.09350908,0.085470766
114,0.8559674,0.7727548
115,0.9977604,0.9895296
116,0.13874486,0.14676666
117,0.99998236,0.9997665
118,0.00084763765,0.009797752
119,0.3134539,0.45257443
120,0.12506214,0.12109065
121,0.9987893,0.99827254
122,0.1623277,0.2098374
123,0.60095114,0.44808438
124,0.99790865,0.98926497
125,0.55914783,0.55005324
126,0.07760301,0.029488325
127,0.31796834,0.13198873
128,0.0666545,0.078661025
129,0.59109795,0.9746498
130,0.9861275,0.45647722
131,0.6421511,0.9728432
132,0.029956698,0.03749782
133,0.27526507,0.9856514
134,0.12900409,0.9810124
135,0.9999888,0.9817853
136,0.53047097,0.48454553
137,0.99580956,0.88092095
138,0.0075656474,0.5488214
139,0.9996904,0.9172145
140,0.7854302,0.8297156
141,0.99605805,0.95020056
142,0.015847445,0.012038827
143,0.5650935,0.30483294
144,0.0022296906,0.0005738735
145,0.81474507,0.4380719
146,0.18501249,0.28991684
147,0.9996233,0.9998149
148,0.26836154,0.28729427
149,0.9443418,0.9263183
150,0.004600227,0.0021606982
151,0.91467416,0.9165702
152,0.6164088,0.5182712
153,0.9997972,0.9998587
154,0.44019148,0.39819846
155,0.9277445,0.9329817
156,0.0004529357,0.0003632009
157,0.9997744,0.9998943
158,0.593962,0.49175364
159,0.06494331,0.07533276
160,0.005739063,0.0035954416
161,0.10087949,0.10522434
