isic_id,target,j,pr,pd,pe
ISIC_5726572,0,0,2.1212463252595626e-05,0.018403654918074608,2.1299341824487783e-05
ISIC_0179267,0,1,2.3750384571030736e-05,0.0010771736269816756,2.615792072901968e-05
ISIC_7948595,0,2,2.7349205993232317e-05,9.912881068885326e-05,9.955646419257391e-06
ISIC_7166676,0,3,0.9940856695175171,0.9991468191146851,0.9984031319618225
ISIC_8851901,0,4,0.9994658827781677,0.999816358089447,0.996684730052948
ISIC_8197677,0,5,0.00011910714238183573,0.003806989174336195,1.8578908566269092e-05
ISIC_2328299,0,6,8.985696331365034e-05,0.001136977574788034,0.0001041521318256855
ISIC_1738297,0,7,0.0032554143108427525,0.3257231116294861,0.002497002249583602
ISIC_3009892,0,8,0.0016938209300860763,0.0009726844145916402,0.0006105519132688642
ISIC_9204214,0,9,9.007976041175425e-05,0.9768962264060974,5.998812775942497e-05
ISIC_1531048,0,10,0.9996106028556824,0.9139063954353333,0.9590195417404175
ISIC_5260098,0,11,0.6950695514678955,0.9783203601837158,0.41709059476852417
ISIC_8935256,0,12,0.3971661925315857,0.6714532375335693,0.6253120303153992
ISIC_6527244,0,13,0.023159991949796677,0.023159991949796677,0.026072781533002853
ISIC_6509682,1,14,0.9162204265594482,0.949711263179779,0.9260756373405457
ISIC_7137773,0,15,0.0007396353175863624,0.0004677822289522737,0.0005564526654779911
ISIC_9705832,0,16,0.00010052748257294297,8.343721856363118e-05,6.0748356190742925e-05
ISIC_7344014,0,17,7.586446008644998e-05,6.663889507763088e-05,3.4385946491966024e-05
ISIC_5482426,0,18,0.8639131784439087,0.8043771386146545,0.9518332481384277
ISIC_5559905,0,19,5.667709410772659e-05,0.001622733660042286,4.921603249385953e-05
ISIC_5334995,0,20,0.002318636979907751,0.2859519422054291,0.0016884689684957266
ISIC_1059054,0,21,0.1842864602804184,0.4997468888759613,0.0007964559481479228
ISIC_7536704,1,22,0.9990660548210144,0.5423322916030884,0.917191207408905
ISIC_5769038,0,23,7.680618000449613e-05,0.00789208896458149,6.524220952996984e-05
ISIC_9641092,0,24,9.768085146788508e-05,0.10090993344783783,0.0025032225530594587
ISIC_1677092,0,25,0.0003797037061303854,0.9444326162338257,0.00021833216305822134
ISIC_8534607,0,26,0.02272224612534046,0.7344115972518921,0.034885261207818985
