isic_id,image_path,prob_pos,target,qbar,sharpness,brightness,contrast,cluster
ISIC_2075655,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2075655.jpg,0.9915723204612732,0,0.27738,0.0017,0.2162,0.097,0
ISIC_2311665,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2311665.jpg,0.103603720664978,1,0.3835199999999999,0.0286,0.5396,0.2892,1
ISIC_1589997,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1589997.jpg,0.0932649970054626,1,0.37244,0.0016,0.6411,0.0902,0
ISIC_9579703,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9579703.jpg,0.0198172573000192,1,0.22092,0.0064,0.3031,0.2087,1
ISIC_6143929,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6143929.jpg,0.9874267578125,0,0.20986,0.0039,0.2651,0.1523,0
ISIC_3394520,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3394520.jpg,0.0825734660029411,1,0.36144,0.0019,0.8157,0.3807,1
ISIC_5642824,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5642824.jpg,0.0257317852228879,1,0.44294,0.005,0.5523,0.1147,0
ISIC_4362713,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4362713.jpg,0.1088485047221183,1,0.31618,0.0025,0.3193,0.2343,1
ISIC_2255411,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2255411.jpg,0.1423716992139816,1,0.2884,0.0028,0.4661,0.1843,0
ISIC_8167374,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8167374.jpg,0.0413081459701061,1,0.4271999999999999,0.0186,0.855,0.1892,1
ISIC_8219342,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8219342.jpg,0.998507022857666,0,0.4481799999999999,0.0332,0.8714,0.1597,1
ISIC_1637536,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1637536.jpg,0.959771454334259,0,0.36354,0.0053,0.7926,0.1489,0
ISIC_4469476,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4469476.jpg,0.0312426518648862,1,0.1626,0.0024,0.2644,0.1108,0
ISIC_9870885,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9870885.jpg,0.0353364571928978,1,0.25172,0.0225,0.4994,0.1335,1
ISIC_4916704,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4916704.jpg,0.0755891427397728,1,0.19938,0.0018,0.4565,0.0704,0
ISIC_9547725,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9547725.jpg,0.0311707258224487,1,0.4434999999999999,0.0068,0.7729,0.1713,0
ISIC_3440759,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3440759.jpg,0.0738725736737251,1,0.2171,0.0015,0.363,0.0772,0
ISIC_3144222,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3144222.jpg,0.0326511673629283,1,0.4431,0.0107,0.7566,0.2773,1
ISIC_6392461,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6392461.jpg,0.0243234373629093,1,0.34652,0.0019,0.2764,0.1734,0
ISIC_4967586,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4967586.jpg,0.0243429522961378,1,0.4345,0.0023,0.6452,0.145,0
ISIC_3416107,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3416107.jpg,0.0546875372529029,1,0.42216,0.0121,0.8785,0.3128,1
ISIC_9766593,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9766593.jpg,0.9665941596031188,0,0.37922,0.0098,0.3809,0.2007,0
ISIC_6509682,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6509682.jpg,0.0285702943801879,1,0.3157999999999999,0.0041,0.5476,0.2926,1
ISIC_0981639,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0981639.jpg,0.0067960619926452,1,0.36546,0.0032,0.5357,0.273,0
ISIC_9383110,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9383110.jpg,0.955421268939972,0,0.36412,0.003,0.7489,0.3473,0
ISIC_2837581,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2837581.jpg,0.068823717534542,1,0.22128,0.0017,0.1384,0.0792,0
ISIC_5758388,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5758388.jpg,0.0201017465442419,1,0.3167,0.0042,0.5531,0.453,1
ISIC_4676270,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4676270.jpg,0.1028687134385109,1,0.35676,0.0026,0.7745,0.1112,0
ISIC_8609756,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8609756.jpg,0.1367183774709701,1,0.31284,0.0013,0.4034,0.0818,1
ISIC_6971606,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6971606.jpg,0.0799102783203125,1,0.4389200000000001,0.0012,0.5738,0.1699,1
ISIC_4523238,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4523238.jpg,0.0294377747923135,1,0.31088,0.0066,0.6748,0.5245,1
ISIC_0504165,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0504165.jpg,0.0210207588970661,1,0.24276,0.0049,0.4335,0.2653,1
ISIC_8370773,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8370773.jpg,0.8898229002952576,0,0.3753399999999999,0.0019,0.4385,0.1454,1
ISIC_5829938,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5829938.jpg,0.0702024549245834,1,0.37866,0.0086,0.6413,0.2672,1
ISIC_1810790,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1810790.jpg,0.9251481890678406,0,0.05398,0.0009,0.0804,0.027,0
ISIC_4525317,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4525317.jpg,0.0457029417157173,1,0.2795399999999999,0.0176,0.7655,0.1823,1
ISIC_1255336,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1255336.jpg,0.1388900876045227,1,0.41352,0.0015,0.5676,0.0535,0
ISIC_5495413,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5495413.jpg,0.0794564113020896,1,0.31742,0.0044,0.7449,0.226,1
ISIC_8040024,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8040024.jpg,0.1328593492507934,1,0.3800199999999999,0.003,0.5186,0.2002,0
ISIC_6785680,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6785680.jpg,0.0999242216348648,1,0.33454,0.0041,0.4927,0.1428,0
ISIC_4346693,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4346693.jpg,0.0512115359306335,1,0.44128,0.0205,0.6567,0.1679,1
ISIC_6671773,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6671773.jpg,0.0625384673476219,1,0.25808,0.0336,0.489,0.1759,1
ISIC_3028754,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3028754.jpg,0.017104098573327,1,0.20752,0.0059,0.2905,0.1797,0
ISIC_8252406,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8252406.jpg,0.0242855343967676,1,0.3358199999999999,0.0063,0.383,0.2768,0
ISIC_7658729,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7658729.jpg,0.008749752305448,1,0.33516,0.0026,0.6082,0.1017,1
ISIC_1116483,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1116483.jpg,0.0769654884934425,1,0.39316,0.0083,0.4908,0.1755,0
ISIC_8692218,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8692218.jpg,0.0202893707901239,1,0.3686399999999999,0.0067,0.616,0.0975,1
ISIC_0952472,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0952472.jpg,0.0771354436874389,1,0.39734,0.0041,0.7617,0.1837,0
ISIC_8325226,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8325226.jpg,0.1019104868173599,1,0.13054,0.0013,0.2464,0.0417,0
ISIC_5732201,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5732201.jpg,0.100993275642395,1,0.41834,0.0028,0.6051,0.2099,0
ISIC_8621568,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8621568.jpg,0.0114529421553015,1,0.4112599999999999,0.0072,0.5729,0.2455,0
ISIC_2895555,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2895555.jpg,0.0422875769436359,1,0.3996599999999999,0.0104,0.9528,0.3736,1
ISIC_1659054,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1659054.jpg,0.8681604266166687,0,0.1728799999999999,0.0002,0.3085,0.0201,0
ISIC_9677503,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9677503.jpg,0.0156765449792146,1,0.3886799999999999,0.0051,0.5961,0.3429,1
ISIC_8306697,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8306697.jpg,0.0215543247759342,1,0.4352999999999999,0.0161,0.6948,0.5113,2
ISIC_3985031,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3985031.jpg,0.0177371948957443,1,0.36738,0.0014,0.3244,0.1243,0
ISIC_3733653,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3733653.jpg,0.0449004955589771,1,0.3864599999999999,0.0017,0.819,0.1366,0
