isic_id,target,j,pr,pd,pe
ISIC_5726572,0,0,2.1212463252595626e-05,0.018403654918074608,0.0005731767159886658
ISIC_0179267,0,1,2.3750384571030736e-05,0.0010771736269816756,2.9110413379385136e-05
ISIC_7948595,0,2,2.7349205993232317e-05,9.912881068885326e-05,1.3438492715067696e-05
ISIC_7166676,0,3,0.9940856695175171,0.9991468191146851,0.9986543655395508
ISIC_8851901,0,4,0.9994658827781677,0.999816358089447,0.9798164963722229
ISIC_8197677,0,5,0.00011910714238183573,0.003806989174336195,2.9137467208784074e-05
ISIC_2328299,0,6,8.985696331365034e-05,0.001136977574788034,0.0001455751043977216
ISIC_1738297,0,7,0.0032554143108427525,0.3257231116294861,0.009927964769303799
ISIC_3009892,0,8,0.0016938209300860763,0.0009726844145916402,0.000645086111035198
ISIC_9204214,0,9,9.007976041175425e-05,0.9768962264060974,0.00020947963639628142
ISIC_1531048,0,10,0.9996106028556824,0.9139063954353333,0.9975146055221558
ISIC_5260098,0,11,0.6950695514678955,0.9783203601837158,0.10574516654014587
ISIC_8935256,0,12,0.3971661925315857,0.6714532375335693,0.9297760725021362
ISIC_6527244,0,13,0.023159991949796677,0.023159991949796677,0.030365586280822754
ISIC_6509682,1,14,0.9162204265594482,0.949711263179779,0.529918372631073
ISIC_7137773,0,15,0.0007396353175863624,0.0004677822289522737,0.00032006565015763044
ISIC_9705832,0,16,0.00010052748257294297,8.343721856363118e-05,6.672625750070438e-05
ISIC_7344014,0,17,7.586446008644998e-05,6.663889507763088e-05,2.1566052964772098e-05
ISIC_5482426,0,18,0.8639131784439087,0.8043771386146545,0.9651793241500854
ISIC_5559905,0,19,5.667709410772659e-05,0.001622733660042286,3.8838403270347044e-05
ISIC_5334995,0,20,0.002318636979907751,0.2859519422054291,0.16501574218273163
ISIC_1059054,0,21,0.1842864602804184,0.4997468888759613,0.0007902620709501207
ISIC_7536704,1,22,0.9990660548210144,0.5423322916030884,0.6528611183166504
ISIC_5769038,0,23,7.680618000449613e-05,0.00789208896458149,0.0005030257161706686
ISIC_9641092,0,24,9.768085146788508e-05,0.10090993344783783,0.0017131926724687219
ISIC_1677092,0,25,0.0003797037061303854,0.9444326162338257,0.000458032067399472
ISIC_8534607,0,26,0.02272224612534046,0.7344115972518921,0.021370861679315567
ISIC_4737689,0,27,6.134973227744922e-05,0.0137169836089015,4.8154463001992553e-05
ISIC_5230385,0,28,0.0275052972137928,0.9862260222434998,0.028023388236761093
ISIC_4859011,0,29,0.006552598439157009,0.8984997868537903,0.002626441651955247
ISIC_5880407,0,30,6.507251964649186e-05,0.020192274823784828,9.049096115631983e-05
ISIC_4406629,0,31,0.015512668527662754,0.3383174240589142,0.002614784287288785
ISIC_7338380,0,32,0.0005645955679938197,0.8914371132850647,0.15327151119709015
ISIC_5459207,0,33,0.9999850988388062,0.9990662932395935,0.8435526490211487
ISIC_0704618,0,34,0.9979123473167419,0.9873485565185547,0.7875021696090698
ISIC_3591332,0,35,0.025826534256339073,0.6333875060081482,0.020772961899638176
ISIC_8274622,0,36,0.00010719327110564336,0.05417313054203987,0.003380613401532173
ISIC_1212587,0,37,0.0006062943721190095,0.19588156044483185,0.001608051359653473
ISIC_9951949,0,38,0.0004884638474322855,0.0013239267282187939,0.0002787502307910472
ISIC_5932383,0,39,0.00014975271187722683,0.0002560669672675431,0.00012892067024949938
ISIC_5410088,0,40,0.00011937082308577374,0.032405752688646317,0.00037334670196287334
ISIC_5548914,0,41,2.7074698664364405e-05,0.052864983677864075,5.093274739920162e-05
ISIC_6993830,0,42,0.005914372857660055,0.8879299163818359,0.0033667467068880796
ISIC_3267312,0,43,1.9082821381743997e-05,0.38781970739364624,9.362663695355877e-05
ISIC_8692556,0,44,0.0007540886872448027,0.0015641653444617987,0.00016492510621901602
ISIC_1896306,0,45,0.00028005766216665506,8.495317160850391e-05,4.58412614534609e-05
ISIC_2709961,0,46,1.3387520084506832e-05,0.0009741989197209477,2.2772246666136198e-05
ISIC_5300453,0,47,6.976018630666658e-05,0.00046046701027080417,5.5624292144784704e-05
ISIC_1894324,0,48,0.7911238074302673,0.9991123080253601,0.9928218722343445
ISIC_1602440,0,49,0.550342321395874,0.5918087363243103,0.41491571068763733
ISIC_9711911,0,50,0.0005880088428966701,0.8168794512748718,0.019861456006765366
ISIC_1076091,0,51,0.00015560502652078867,0.013574748300015926,0.0008926657610572875
ISIC_1225412,0,52,5.79580364501453e-06,0.0007133835460990667,5.739184416597709e-06
ISIC_5973717,0,53,0.007764752022922039,0.05022069811820984,0.007443713024258614
ISIC_4656707,0,54,0.0007027551764622331,0.10671266913414001,0.00855276919901371
ISIC_7929089,0,55,0.0023007404524832964,0.008582270704209805,0.003834065981209278
ISIC_6010415,0,56,2.0913636035402305e-05,0.005137319676578045,7.258250843733549e-05
ISIC_1571860,0,57,5.1035873184446245e-05,0.47383221983909607,0.0022528718691319227
ISIC_0912649,0,58,0.024872945621609688,0.6355206370353699,0.3385993540287018
ISIC_7494122,0,59,0.0017396316397935152,0.09406912326812744,0.001462766551412642
ISIC_2187515,0,60,0.00782307330518961,0.06110145524144173,0.0026444951072335243
ISIC_3162024,0,61,0.0012605397496372461,0.0012605397496372461,0.0007709992933087051
ISIC_0686446,0,62,1.0116204066434875e-05,0.009784966707229614,6.00170242250897e-05
