P_X,P_f,N,run_id,ur,clip_norm,seed,t_mech,t_func_die,sign_delta
30,5,3,brats_050,0.5,None,43,inf,0,1
30,5,3,brats_050,0.5,None,44,inf,inf,0
30,5,5,brats_050,0.5,None,42,inf,0,1
30,5,5,brats_050,0.5,None,43,inf,0,1
30,5,5,brats_050,0.5,None,44,inf,inf,0
30,5,10,brats_050,0.5,None,42,inf,0,1
30,5,10,brats_050,0.5,None,43,inf,inf,0
30,5,10,brats_050,0.5,None,44,inf,inf,0
10,1,3,brats_065,0.65,None,42,inf,inf,0
10,1,3,brats_065,0.65,None,43,inf,inf,0
10,1,3,brats_065,0.65,None,44,inf,inf,0
10,1,5,brats_065,0.65,None,42,inf,inf,0
10,1,5,brats_065,0.65,None,43,inf,inf,0
10,1,5,brats_065,0.65,None,44,inf,inf,0
10,1,10,brats_065,0.65,None,42,inf,inf,0
10,1,10,brats_065,0.65,None,43,inf,inf,0
10,1,10,brats_065,0.65,None,44,inf,inf,0
10,2,3,brats_065,0.65,None,42,inf,inf,0
10,2,3,brats_065,0.65,None,43,inf,1,1
10,2,3,brats_065,0.65,None,44,inf,inf,0
10,2,5,brats_065,0.65,None,42,inf,inf,0
10,2,5,brats_065,0.65,None,43,inf,inf,0
10,2,5,brats_065,0.65,None,44,inf,inf,0
10,2,10,brats_065,0.65,None,42,inf,inf,0
10,2,10,brats_065,0.65,None,43,inf,inf,0
10,2,10,brats_065,0.65,None,44,inf,inf,0
10,5,3,brats_065,0.65,None,42,inf,inf,0
10,5,3,brats_065,0.65,None,43,inf,0,1
10,5,3,brats_065,0.65,None,44,inf,inf,0
10,5,5,brats_065,0.65,None,42,inf,inf,0
10,5,5,brats_065,0.65,None,43,inf,0,1
10,5,5,brats_065,0.65,None,44,inf,inf,0
10,5,10,brats_065,0.65,None,42,inf,inf,0
10,5,10,brats_065,0.65,None,43,inf,0,1
10,5,10,brats_065,0.65,None,44,inf,inf,0
20,1,3,brats_065,0.65,None,42,inf,inf,0
20,1,3,brats_065,0.65,None,43,inf,inf,0
20,1,3,brats_065,0.65,None,44,inf,inf,0
20,1,5,brats_065,0.65,None,42,inf,inf,0
20,1,5,brats_065,0.65,None,43,inf,inf,0
20,1,5,brats_065,0.65,None,44,inf,inf,0
20,1,10,brats_065,0.65,None,42,inf,inf,0
20,1,10,brats_065,0.65,None,43,inf,inf,0
20,1,10,brats_065,0.65,None,44,inf,inf,0
20,2,3,brats_065,0.65,None,42,inf,inf,0
20,2,3,brats_065,0.65,None,43,inf,1,1
20,2,3,brats_065,0.65,None,44,inf,inf,0
20,2,5,brats_065,0.65,None,42,inf,inf,0
20,2,5,brats_065,0.65,None,43,inf,inf,0
20,2,5,brats_065,0.65,None,44,inf,inf,0
20,2,10,brats_065,0.65,None,42,inf,inf,0
20,2,10,brats_065,0.65,None,43,inf,inf,0
20,2,10,brats_065,0.65,None,44,inf,inf,0
20,5,3,brats_065,0.65,None,42,inf,inf,0
20,5,3,brats_065,0.65,None,43,inf,0,1
20,5,3,brats_065,0.65,None,44,inf,inf,0
20,5,5,brats_065,0.65,None,42,inf,inf,0
20,5,5,brats_065,0.65,None,43,inf,0,1
20,5,5,brats_065,0.65,None,44,inf,inf,0
20,5,10,brats_065,0.65,None,42,inf,inf,0
20,5,10,brats_065,0.65,None,43,inf,0,1
20,5,10,brats_065,0.65,None,44,inf,inf,0
30,1,3,brats_065,0.65,None,42,inf,inf,0
30,1,3,brats_065,0.65,None,43,inf,inf,0
30,1,3,brats_065,0.65,None,44,inf,inf,0
30,1,5,brats_065,0.65,None,42,inf,inf,0
30,1,5,brats_065,0.65,None,43,inf,inf,0
30,1,5,brats_065,0.65,None,44,inf,inf,0
30,1,10,brats_065,0.65,None,42,inf,inf,0
30,1,10,brats_065,0.65,None,43,inf,inf,0
30,1,10,brats_065,0.65,None,44,inf,inf,0
30,2,3,brats_065,0.65,None,42,inf,inf,0
30,2,3,brats_065,0.65,None,43,inf,1,1
30,2,3,brats_065,0.65,None,44,inf,inf,0
30,2,5,brats_065,0.65,None,42,inf,inf,0
30,2,5,brats_065,0.65,None,43,inf,inf,0
30,2,5,brats_065,0.65,None,44,inf,inf,0
30,2,10,brats_065,0.65,None,42,inf,inf,0
30,2,10,brats_065,0.65,None,43,inf,inf,0
30,2,10,brats_065,0.65,None,44,inf,inf,0
30,5,3,brats_065,0.65,None,42,inf,inf,0
30,5,3,brats_065,0.65,None,43,inf,0,1
30,5,3,brats_065,0.65,None,44,inf,inf,0
30,5,5,brats_065,0.65,None,42,inf,inf,0
30,5,5,brats_065,0.65,None,43,inf,0,1
30,5,5,brats_065,0.65,None,44,inf,inf,0
30,5,10,brats_065,0.65,None,42,inf,inf,0
30,5,10,brats_065,0.65,None,43,inf,0,1
30,5,10,brats_065,0.65,None,44,inf,inf,0
10,1,3,brats_080,0.8,None,42,inf,inf,0
10,1,3,brats_080,0.8,None,43,inf,inf,0
10,1,3,brats_080,0.8,None,44,inf,inf,0
10,1,5,brats_080,0.8,None,42,inf,inf,0
10,1,5,brats_080,0.8,None,43,inf,inf,0
10,1,5,brats_080,0.8,None,44,inf,inf,0
10,1,10,brats_080,0.8,None,42,inf,inf,0
10,1,10,brats_080,0.8,None,43,inf,inf,0
10,1,10,brats_080,0.8,None,44,inf,inf,0
10,2,3,brats_080,0.8,None,42,inf,inf,0
10,2,3,brats_080,0.8,None,43,inf,inf,0
10,2,3,brats_080,0.8,None,44,inf,0,1
10,2,5,brats_080,0.8,None,42,inf,inf,0
10,2,5,brats_080,0.8,None,43,inf,inf,0
10,2,5,brats_080,0.8,None,44,inf,inf,0
10,2,10,brats_080,0.8,None,42,inf,inf,0
10,2,10,brats_080,0.8,None,43,inf,inf,0
10,2,10,brats_080,0.8,None,44,inf,inf,0
10,5,3,brats_080,0.8,None,42,inf,inf,0
10,5,3,brats_080,0.8,None,43,inf,inf,0
10,5,3,brats_080,0.8,None,44,inf,0,1
10,5,5,brats_080,0.8,None,42,inf,inf,0
10,5,5,brats_080,0.8,None,43,inf,inf,0
10,5,5,brats_080,0.8,None,44,inf,0,1
10,5,10,brats_080,0.8,None,42,inf,inf,0
10,5,10,brats_080,0.8,None,43,inf,inf,0
10,5,10,brats_080,0.8,None,44,inf,inf,0
20,1,3,brats_080,0.8,None,42,inf,inf,0
20,1,3,brats_080,0.8,None,43,inf,inf,0
20,1,3,brats_080,0.8,None,44,inf,inf,0
20,1,5,brats_080,0.8,None,42,inf,inf,0
20,1,5,brats_080,0.8,None,43,inf,inf,0
20,1,5,brats_080,0.8,None,44,inf,inf,0
20,1,10,brats_080,0.8,None,42,inf,inf,0
20,1,10,brats_080,0.8,None,43,inf,inf,0
20,1,10,brats_080,0.8,None,44,inf,inf,0
20,2,3,brats_080,0.8,None,42,inf,inf,0
20,2,3,brats_080,0.8,None,43,inf,inf,0
20,2,3,brats_080,0.8,None,44,inf,0,1
20,2,5,brats_080,0.8,None,42,inf,inf,0
20,2,5,brats_080,0.8,None,43,inf,inf,0
20,2,5,brats_080,0.8,None,44,inf,inf,0
20,2,10,brats_080,0.8,None,42,inf,inf,0
20,2,10,brats_080,0.8,None,43,inf,inf,0
20,2,10,brats_080,0.8,None,44,inf,inf,0
20,5,3,brats_080,0.8,None,42,inf,inf,0
20,5,3,brats_080,0.8,None,43,inf,inf,0
20,5,3,brats_080,0.8,None,44,inf,0,1
20,5,5,brats_080,0.8,None,42,inf,inf,0
20,5,5,brats_080,0.8,None,43,inf,inf,0
20,5,5,brats_080,0.8,None,44,inf,0,1
20,5,10,brats_080,0.8,None,42,inf,inf,0
20,5,10,brats_080,0.8,None,43,inf,inf,0
20,5,10,brats_080,0.8,None,44,inf,inf,0
30,1,3,brats_080,0.8,None,42,inf,inf,0
30,1,3,brats_080,0.8,None,43,inf,inf,0
30,1,3,brats_080,0.8,None,44,inf,inf,0
30,1,5,brats_080,0.8,None,42,inf,inf,0
30,1,5,brats_080,0.8,None,43,inf,inf,0
30,1,5,brats_080,0.8,None,44,inf,inf,0
30,1,10,brats_080,0.8,None,42,inf,inf,0
30,1,10,brats_080,0.8,None,43,inf,inf,0
30,1,10,brats_080,0.8,None,44,inf,inf,0
30,2,3,brats_080,0.8,None,42,inf,inf,0
30,2,3,brats_080,0.8,None,43,inf,inf,0
30,2,3,brats_080,0.8,None,44,inf,0,1
30,2,5,brats_080,0.8,None,42,inf,inf,0
30,2,5,brats_080,0.8,None,43,inf,inf,0
30,2,5,brats_080,0.8,None,44,inf,inf,0
30,2,10,brats_080,0.8,None,42,inf,inf,0
30,2,10,brats_080,0.8,None,43,inf,inf,0
30,2,10,brats_080,0.8,None,44,inf,inf,0
30,5,3,brats_080,0.8,None,42,inf,inf,0
30,5,3,brats_080,0.8,None,43,inf,inf,0
30,5,3,brats_080,0.8,None,44,inf,0,1
30,5,5,brats_080,0.8,None,42,inf,inf,0
30,5,5,brats_080,0.8,None,43,inf,inf,0
30,5,5,brats_080,0.8,None,44,inf,0,1
30,5,10,brats_080,0.8,None,42,inf,inf,0
30,5,10,brats_080,0.8,None,43,inf,inf,0
30,5,10,brats_080,0.8,None,44,inf,inf,0
10,1,3,brats_080_clip1,0.8,1.0,42,inf,inf,0
10,1,3,brats_080_clip1,0.8,1.0,43,inf,inf,0
10,1,3,brats_080_clip1,0.8,1.0,44,inf,inf,0
10,1,5,brats_080_clip1,0.8,1.0,42,inf,inf,0
10,1,5,brats_080_clip1,0.8,1.0,43,inf,inf,0
10,1,5,brats_080_clip1,0.8,1.0,44,inf,inf,0
10,1,10,brats_080_clip1,0.8,1.0,42,inf,inf,0
10,1,10,brats_080_clip1,0.8,1.0,43,inf,inf,0
10,1,10,brats_080_clip1,0.8,1.0,44,inf,inf,0
10,2,3,brats_080_clip1,0.8,1.0,42,inf,inf,0
10,2,3,brats_080_clip1,0.8,1.0,43,inf,inf,0
10,2,3,brats_080_clip1,0.8,1.0,44,inf,inf,0
10,2,5,brats_080_clip1,0.8,1.0,42,inf,inf,0
10,2,5,brats_080_clip1,0.8,1.0,43,inf,inf,0
10,2,5,brats_080_clip1,0.8,1.0,44,inf,inf,0
10,2,10,brats_080_clip1,0.8,1.0,42,inf,inf,0
10,2,10,brats_080_clip1,0.8,1.0,43,inf,inf,0
10,2,10,brats_080_clip1,0.8,1.0,44,inf,inf,0
10,5,3,brats_080_clip1,0.8,1.0,42,inf,inf,0
10,5,3,brats_080_clip1,0.8,1.0,43,inf,inf,0
10,5,3,brats_080_clip1,0.8,1.0,44,inf,inf,0
10,5,5,brats_080_clip1,0.8,1.0,42,inf,inf,0
10,5,5,brats_080_clip1,0.8,1.0,43,inf,inf,0
10,5,5,brats_080_clip1,0.8,1.0,44,inf,inf,0
10,5,10,brats_080_clip1,0.8,1.0,42,inf,inf,0
10,5,10,brats_080_clip1,0.8,1.0,43,inf,inf,0
10,5,10,brats_080_clip1,0.8,1.0,44,inf,inf,0
20,1,3,brats_080_clip1,0.8,1.0,42,inf,inf,0
20,1,3,brats_080_clip1,0.8,1.0,43,inf,inf,0
20,1,3,brats_080_clip1,0.8,1.0,44,inf,inf,0
20,1,5,brats_080_clip1,0.8,1.0,42,inf,inf,0
20,1,5,brats_080_clip1,0.8,1.0,43,inf,inf,0
20,1,5,brats_080_clip1,0.8,1.0,44,inf,inf,0
20,1,10,brats_080_clip1,0.8,1.0,42,inf,inf,0
20,1,10,brats_080_clip1,0.8,1.0,43,inf,inf,0
20,1,10,brats_080_clip1,0.8,1.0,44,inf,inf,0
20,2,3,brats_080_clip1,0.8,1.0,42,inf,inf,0
20,2,3,brats_080_clip1,0.8,1.0,43,inf,inf,0
20,2,3,brats_080_clip1,0.8,1.0,44,inf,inf,0
20,2,5,brats_080_clip1,0.8,1.0,42,inf,inf,0
20,2,5,brats_080_clip1,0.8,1.0,43,inf,inf,0
20,2,5,brats_080_clip1,0.8,1.0,44,inf,inf,0
20,2,10,brats_080_clip1,0.8,1.0,42,inf,inf,0
20,2,10,brats_080_clip1,0.8,1.0,43,inf,inf,0
20,2,10,brats_080_clip1,0.8,1.0,44,inf,inf,0
20,5,3,brats_080_clip1,0.8,1.0,42,inf,inf,0
20,5,3,brats_080_clip1,0.8,1.0,43,inf,inf,0
20,5,3,brats_080_clip1,0.8,1.0,44,inf,inf,0
20,5,5,brats_080_clip1,0.8,1.0,42,inf,inf,0
20,5,5,brats_080_clip1,0.8,1.0,43,inf,inf,0
20,5,5,brats_080_clip1,0.8,1.0,44,inf,inf,0
20,5,10,brats_080_clip1,0.8,1.0,42,inf,inf,0
20,5,10,brats_080_clip1,0.8,1.0,43,inf,inf,0
20,5,10,brats_080_clip1,0.8,1.0,44,inf,inf,0
30,1,3,brats_080_clip1,0.8,1.0,42,inf,inf,0
30,1,3,brats_080_clip1,0.8,1.0,43,inf,inf,0
30,1,3,brats_080_clip1,0.8,1.0,44,inf,inf,0
30,1,5,brats_080_clip1,0.8,1.0,42,inf,inf,0
30,1,5,brats_080_clip1,0.8,1.0,43,inf,inf,0
30,1,5,brats_080_clip1,0.8,1.0,44,inf,inf,0
30,1,10,brats_080_clip1,0.8,1.0,42,inf,inf,0
30,1,10,brats_080_clip1,0.8,1.0,43,inf,inf,0
30,1,10,brats_080_clip1,0.8,1.0,44,inf,inf,0
30,2,3,brats_080_clip1,0.8,1.0,42,inf,inf,0
30,2,3,brats_080_clip1,0.8,1.0,43,inf,inf,0
30,2,3,brats_080_clip1,0.8,1.0,44,inf,inf,0
30,2,5,brats_080_clip1,0.8,1.0,42,inf,inf,0
30,2,5,brats_080_clip1,0.8,1.0,43,inf,inf,0
30,2,5,brats_080_clip1,0.8,1.0,44,inf,inf,0
30,2,10,brats_080_clip1,0.8,1.0,42,inf,inf,0
30,2,10,brats_080_clip1,0.8,1.0,43,inf,inf,0
30,2,10,brats_080_clip1,0.8,1.0,44,inf,inf,0
30,5,3,brats_080_clip1,0.8,1.0,42,inf,inf,0
30,5,3,brats_080_clip1,0.8,1.0,43,inf,inf,0
30,5,3,brats_080_clip1,0.8,1.0,44,inf,inf,0
30,5,5,brats_080_clip1,0.8,1.0,42,inf,inf,0
30,5,5,brats_080_clip1,0.8,1.0,43,inf,inf,0
30,5,5,brats_080_clip1,0.8,1.0,44,inf,inf,0
30,5,10,brats_080_clip1,0.8,1.0,42,inf,inf,0
30,5,10,brats_080_clip1,0.8,1.0,43,inf,inf,0
30,5,10,brats_080_clip1,0.8,1.0,44,inf,inf,0
10,1,3,hippo_030,0.3,None,42,inf,inf,0
10,1,3,hippo_030,0.3,None,43,inf,inf,0
10,1,3,hippo_030,0.3,None,44,inf,158,1
10,1,5,hippo_030,0.3,None,42,inf,inf,0
10,1,5,hippo_030,0.3,None,43,inf,inf,0
10,1,5,hippo_030,0.3,None,44,inf,inf,0
10,1,10,hippo_030,0.3,None,42,inf,inf,0
10,1,10,hippo_030,0.3,None,43,inf,inf,0
10,1,10,hippo_030,0.3,None,44,inf,inf,0
10,2,3,hippo_030,0.3,None,42,inf,inf,0
10,2,3,hippo_030,0.3,None,43,inf,inf,0
10,2,3,hippo_030,0.3,None,44,inf,158,1
10,2,5,hippo_030,0.3,None,42,inf,inf,0
10,2,5,hippo_030,0.3,None,43,inf,inf,0
10,2,5,hippo_030,0.3,None,44,inf,158,1
10,2,10,hippo_030,0.3,None,42,inf,inf,0
10,2,10,hippo_030,0.3,None,43,inf,inf,0
10,2,10,hippo_030,0.3,None,44,inf,inf,0
10,5,3,hippo_030,0.3,None,42,inf,inf,0
10,5,3,hippo_030,0.3,None,43,inf,202,1
10,5,3,hippo_030,0.3,None,44,inf,158,1
10,5,5,hippo_030,0.3,None,42,inf,inf,0
10,5,5,hippo_030,0.3,None,43,inf,202,1
10,5,5,hippo_030,0.3,None,44,inf,158,1
10,5,10,hippo_030,0.3,None,42,inf,inf,0
10,5,10,hippo_030,0.3,None,43,inf,inf,0
10,5,10,hippo_030,0.3,None,44,inf,inf,0
20,1,3,hippo_030,0.3,None,42,inf,inf,0
20,1,3,hippo_030,0.3,None,43,inf,inf,0
20,1,3,hippo_030,0.3,None,44,inf,158,1
20,1,5,hippo_030,0.3,None,42,inf,inf,0
20,1,5,hippo_030,0.3,None,43,inf,inf,0
20,1,5,hippo_030,0.3,None,44,inf,inf,0
20,1,10,hippo_030,0.3,None,42,inf,inf,0
20,1,10,hippo_030,0.3,None,43,inf,inf,0
20,1,10,hippo_030,0.3,None,44,inf,inf,0
20,2,3,hippo_030,0.3,None,42,inf,inf,0
20,2,3,hippo_030,0.3,None,43,inf,inf,0
20,2,3,hippo_030,0.3,None,44,inf,158,1
20,2,5,hippo_030,0.3,None,42,inf,inf,0
20,2,5,hippo_030,0.3,None,43,inf,inf,0
20,2,5,hippo_030,0.3,None,44,inf,158,1
20,2,10,hippo_030,0.3,None,42,inf,inf,0
20,2,10,hippo_030,0.3,None,43,inf,inf,0
20,2,10,hippo_030,0.3,None,44,inf,inf,0
20,5,3,hippo_030,0.3,None,42,inf,inf,0
20,5,3,hippo_030,0.3,None,43,inf,202,1
20,5,3,hippo_030,0.3,None,44,inf,158,1
20,5,5,hippo_030,0.3,None,42,inf,inf,0
20,5,5,hippo_030,0.3,None,43,inf,202,1
20,5,5,hippo_030,0.3,None,44,inf,158,1
20,5,10,hippo_030,0.3,None,42,inf,inf,0
20,5,10,hippo_030,0.3,None,43,inf,inf,0
20,5,10,hippo_030,0.3,None,44,inf,inf,0
30,1,3,hippo_030,0.3,None,42,inf,inf,0
30,1,3,hippo_030,0.3,None,43,inf,inf,0
30,1,3,hippo_030,0.3,None,44,inf,158,1
30,1,5,hippo_030,0.3,None,42,inf,inf,0
30,1,5,hippo_030,0.3,None,43,inf,inf,0
30,1,5,hippo_030,0.3,None,44,inf,inf,0
30,1,10,hippo_030,0.3,None,42,inf,inf,0
30,1,10,hippo_030,0.3,None,43,inf,inf,0
30,1,10,hippo_030,0.3,None,44,inf,inf,0
30,2,3,hippo_030,0.3,None,42,inf,inf,0
30,2,3,hippo_030,0.3,None,43,inf,inf,0
30,2,3,hippo_030,0.3,None,44,inf,158,1
30,2,5,hippo_030,0.3,None,42,inf,inf,0
30,2,5,hippo_030,0.3,None,43,inf,inf,0
30,2,5,hippo_030,0.3,None,44,inf,158,1
30,2,10,hippo_030,0.3,None,42,inf,inf,0
30,2,10,hippo_030,0.3,None,43,inf,inf,0
30,2,10,hippo_030,0.3,None,44,inf,inf,0
30,5,3,hippo_030,0.3,None,42,inf,inf,0
30,5,3,hippo_030,0.3,None,43,inf,202,1
30,5,3,hippo_030,0.3,None,44,inf,158,1
30,5,5,hippo_030,0.3,None,42,inf,inf,0
30,5,5,hippo_030,0.3,None,43,inf,202,1
30,5,5,hippo_030,0.3,None,44,inf,158,1
30,5,10,hippo_030,0.3,None,42,inf,inf,0
30,5,10,hippo_030,0.3,None,43,inf,inf,0
30,5,10,hippo_030,0.3,None,44,inf,inf,0
10,1,3,hippo_045,0.45,None,42,inf,inf,0
10,1,3,hippo_045,0.45,None,43,inf,inf,0
10,1,3,hippo_045,0.45,None,44,inf,inf,0
10,1,5,hippo_045,0.45,None,42,inf,inf,0
10,1,5,hippo_045,0.45,None,43,inf,inf,0
10,1,5,hippo_045,0.45,None,44,inf,inf,0
10,1,10,hippo_045,0.45,None,42,inf,inf,0
10,1,10,hippo_045,0.45,None,43,inf,inf,0
10,1,10,hippo_045,0.45,None,44,inf,inf,0
10,2,3,hippo_045,0.45,None,42,inf,inf,0
10,2,3,hippo_045,0.45,None,43,inf,inf,0
10,2,3,hippo_045,0.45,None,44,inf,inf,0
10,2,5,hippo_045,0.45,None,42,inf,inf,0
10,2,5,hippo_045,0.45,None,43,inf,inf,0
10,2,5,hippo_045,0.45,None,44,inf,inf,0
10,2,10,hippo_045,0.45,None,42,inf,inf,0
10,2,10,hippo_045,0.45,None,43,inf,inf,0
10,2,10,hippo_045,0.45,None,44,inf,inf,0
10,5,3,hippo_045,0.45,None,42,inf,inf,0
10,5,3,hippo_045,0.45,None,43,inf,inf,0
10,5,3,hippo_045,0.45,None,44,inf,inf,0
10,5,5,hippo_045,0.45,None,42,inf,inf,0
10,5,5,hippo_045,0.45,None,43,inf,inf,0
10,5,5,hippo_045,0.45,None,44,inf,inf,0
10,5,10,hippo_045,0.45,None,42,inf,inf,0
10,5,10,hippo_045,0.45,None,43,inf,inf,0
10,5,10,hippo_045,0.45,None,44,inf,inf,0
20,1,3,hippo_045,0.45,None,42,inf,inf,0
20,1,3,hippo_045,0.45,None,43,inf,inf,0
20,1,3,hippo_045,0.45,None,44,inf,inf,0
20,1,5,hippo_045,0.45,None,42,inf,inf,0
20,1,5,hippo_045,0.45,None,43,inf,inf,0
20,1,5,hippo_045,0.45,None,44,inf,inf,0
20,1,10,hippo_045,0.45,None,42,inf,inf,0
20,1,10,hippo_045,0.45,None,43,inf,inf,0
20,1,10,hippo_045,0.45,None,44,inf,inf,0
20,2,3,hippo_045,0.45,None,42,inf,inf,0
20,2,3,hippo_045,0.45,None,43,inf,inf,0
20,2,3,hippo_045,0.45,None,44,inf,inf,0
20,2,5,hippo_045,0.45,None,42,inf,inf,0
20,2,5,hippo_045,0.45,None,43,inf,inf,0
20,2,5,hippo_045,0.45,None,44,inf,inf,0
20,2,10,hippo_045,0.45,None,42,inf,inf,0
20,2,10,hippo_045,0.45,None,43,inf,inf,0
20,2,10,hippo_045,0.45,None,44,inf,inf,0
20,5,3,hippo_045,0.45,None,42,inf,inf,0
20,5,3,hippo_045,0.45,None,43,inf,inf,0
20,5,3,hippo_045,0.45,None,44,inf,inf,0
20,5,5,hippo_045,0.45,None,42,inf,inf,0
20,5,5,hippo_045,0.45,None,43,inf,inf,0
20,5,5,hippo_045,0.45,None,44,inf,inf,0
20,5,10,hippo_045,0.45,None,42,inf,inf,0
20,5,10,hippo_045,0.45,None,43,inf,inf,0
20,5,10,hippo_045,0.45,None,44,inf,inf,0
30,1,3,hippo_045,0.45,None,42,inf,inf,0
30,1,3,hippo_045,0.45,None,43,inf,inf,0
30,1,3,hippo_045,0.45,None,44,inf,inf,0
30,1,5,hippo_045,0.45,None,42,inf,inf,0
30,1,5,hippo_045,0.45,None,43,inf,inf,0
30,1,5,hippo_045,0.45,None,44,inf,inf,0
30,1,10,hippo_045,0.45,None,42,inf,inf,0
30,1,10,hippo_045,0.45,None,43,inf,inf,0
30,1,10,hippo_045,0.45,None,44,inf,inf,0
30,2,3,hippo_045,0.45,None,42,inf,inf,0
30,2,3,hippo_045,0.45,None,43,inf,inf,0
30,2,3,hippo_045,0.45,None,44,inf,inf,0
30,2,5,hippo_045,0.45,None,42,inf,inf,0
30,2,5,hippo_045,0.45,None,43,inf,inf,0
30,2,5,hippo_045,0.45,None,44,inf,inf,0
30,2,10,hippo_045,0.45,None,42,inf,inf,0
30,2,10,hippo_045,0.45,None,43,inf,inf,0
30,2,10,hippo_045,0.45,None,44,inf,inf,0
30,5,3,hippo_045,0.45,None,42,inf,inf,0
30,5,3,hippo_045,0.45,None,43,inf,inf,0
30,5,3,hippo_045,0.45,None,44,inf,inf,0
30,5,5,hippo_045,0.45,None,42,inf,inf,0
30,5,5,hippo_045,0.45,None,43,inf,inf,0
30,5,5,hippo_045,0.45,None,44,inf,inf,0
30,5,10,hippo_045,0.45,None,42,inf,inf,0
30,5,10,hippo_045,0.45,None,43,inf,inf,0
30,5,10,hippo_045,0.45,None,44,inf,inf,0
10,1,3,hippo_045_clip1,0.45,1.0,42,inf,inf,0
10,1,3,hippo_045_clip1,0.45,1.0,43,inf,inf,0
10,1,3,hippo_045_clip1,0.45,1.0,44,inf,inf,0
10,1,5,hippo_045_clip1,0.45,1.0,42,inf,inf,0
10,1,5,hippo_045_clip1,0.45,1.0,43,inf,inf,0
10,1,5,hippo_045_clip1,0.45,1.0,44,inf,inf,0
