filename,size_px,contrast,dilation_px,ring_frac,anomaly_score,label,detected,seed
ISIC_0024310.jpg,981,0.205455,3,0.075,nan,nan,nan,42
ISIC_0024312.jpg,1762,0.096032,4,0.075,nan,nan,nan,42
ISIC_0024313.jpg,442,0.282933,2,0.075,nan,nan,nan,42
ISIC_0024315.jpg,348,0.264343,2,0.075,nan,nan,nan,42
ISIC_0024318.jpg,894,0.074566,3,0.075,nan,nan,nan,42
ISIC_0024323.jpg,1360,0.126407,3,0.075,nan,nan,nan,42
ISIC_0024324.jpg,534,0.087916,2,0.075,nan,nan,nan,42
ISIC_0024329.jpg,392,0.103511,2,0.075,nan,nan,nan,42
ISIC_0024330.jpg,972,0.095276,3,0.075,nan,nan,nan,42
ISIC_0024331.jpg,1083,0.069493,3,0.075,nan,nan,nan,42
ISIC_0024332.jpg,1189,0.155381,3,0.075,nan,nan,nan,42
ISIC_0024333.jpg,1472,0.180524,3,0.075,nan,nan,nan,42
ISIC_0024336.jpg,793,0.135562,2,0.075,nan,nan,nan,42
ISIC_0024337.jpg,752,0.001529,2,0.075,nan,nan,nan,42
ISIC_0024338.jpg,1181,0.033936,3,0.075,nan,nan,nan,42
ISIC_0024345.jpg,1569,0.012598,3,0.075,nan,nan,nan,42
ISIC_0024351.jpg,1821,0.186896,4,0.075,nan,nan,nan,42
ISIC_0024358.jpg,718,0.187842,2,0.075,nan,nan,nan,42
ISIC_0024360.jpg,233,0.051906,1,0.075,nan,nan,nan,42
ISIC_0024367.jpg,232,0.195805,1,0.075,nan,nan,nan,42
ISIC_0024370.jpg,995,0.194474,3,0.075,nan,nan,nan,42
ISIC_0024371.jpg,2700,0.078064,4,0.075,nan,nan,nan,42
ISIC_0024372.jpg,1432,0.154553,3,0.075,nan,nan,nan,42
ISIC_0024375.jpg,72,0.112389,1,0.075,nan,nan,nan,42
ISIC_0024381.jpg,2929,0.09409,5,0.075,nan,nan,nan,42
ISIC_0024382.jpg,1201,0.08249,3,0.075,nan,nan,nan,42
ISIC_0024383.jpg,1428,0.179459,3,0.075,nan,nan,nan,42
ISIC_0024386.jpg,1157,0.126646,3,0.075,nan,nan,nan,42
ISIC_0024396.jpg,256,0.102687,1,0.075,nan,nan,nan,42
ISIC_0024400.jpg,2963,0.067736,5,0.075,nan,nan,nan,42
ISIC_0024402.jpg,138,0.216957,1,0.075,nan,nan,nan,42
ISIC_0024403.jpg,501,0.236681,2,0.075,nan,nan,nan,42
ISIC_0024408.jpg,301,0.075432,1,0.075,nan,nan,nan,42
ISIC_0024409.jpg,155,0.07066,1,0.075,nan,nan,nan,42
ISIC_0024410.jpg,456,0.274637,2,0.075,nan,nan,nan,42
ISIC_0024411.jpg,154,0.107105,1,0.075,nan,nan,nan,42
ISIC_0024412.jpg,679,0.087272,2,0.075,nan,nan,nan,42
ISIC_0024418.jpg,239,0.262301,1,0.075,nan,nan,nan,42
ISIC_0024420.jpg,877,0.150132,3,0.075,nan,nan,nan,42
ISIC_0024422.jpg,797,0.085836,2,0.075,nan,nan,nan,42
ISIC_0024426.jpg,2156,0.142043,4,0.075,nan,nan,nan,42
ISIC_0024431.jpg,314,0.064351,1,0.075,nan,nan,nan,42
ISIC_0024432.jpg,239,0.151589,1,0.075,nan,nan,nan,42
ISIC_0024435.jpg,469,0.074408,2,0.075,nan,nan,nan,42
ISIC_0024436.jpg,549,0.166379,2,0.075,nan,nan,nan,42
ISIC_0024443.jpg,547,0.064508,2,0.075,nan,nan,nan,42
ISIC_0024445.jpg,578,0.160913,2,0.075,nan,nan,nan,42
ISIC_0024446.jpg,870,0.028509,2,0.075,nan,nan,nan,42
ISIC_0024448.jpg,1290,0.059075,3,0.075,nan,nan,nan,42
ISIC_0024449.jpg,3090,0.182967,5,0.075,nan,nan,nan,42
ISIC_0024450.jpg,2433,0.039336,4,0.075,nan,nan,nan,42
ISIC_0024452.jpg,1014,0.090606,3,0.075,nan,nan,nan,42
ISIC_0024453.jpg,1069,0.150195,3,0.075,nan,nan,nan,42
ISIC_0024454.jpg,2997,0.002667,5,0.075,nan,nan,nan,42
ISIC_0024457.jpg,1990,0.112654,4,0.075,nan,nan,nan,42
ISIC_0024459.jpg,2279,0.278011,4,0.075,nan,nan,nan,42
ISIC_0024461.jpg,1223,0.022748,3,0.075,nan,nan,nan,42
ISIC_0024463.jpg,2154,0.087232,4,0.075,nan,nan,nan,42
