filename,n_components
ISIC_0024310.jpg,1
ISIC_0024312.jpg,1
ISIC_0024313.jpg,1
ISIC_0024315.jpg,1
ISIC_0024318.jpg,1
ISIC_0024323.jpg,1
ISIC_0024324.jpg,1
ISIC_0024329.jpg,1
ISIC_0024330.jpg,1
ISIC_0024331.jpg,1
ISIC_0024332.jpg,1
ISIC_0024333.jpg,1
ISIC_0024336.jpg,1
ISIC_0024337.jpg,1
ISIC_0024338.jpg,1
ISIC_0024345.jpg,1
ISIC_0024351.jpg,1
ISIC_0024358.jpg,1
ISIC_0024360.jpg,1
ISIC_0024367.jpg,1
ISIC_0024370.jpg,1
ISIC_0024371.jpg,1
ISIC_0024372.jpg,1
ISIC_0024375.jpg,1
ISIC_0024381.jpg,1
ISIC_0024382.jpg,1
ISIC_0024383.jpg,1
ISIC_0024386.jpg,1
ISIC_0024396.jpg,1
ISIC_0024400.jpg,2
ISIC_0024402.jpg,1
ISIC_0024403.jpg,1
ISIC_0024408.jpg,1
ISIC_0024409.jpg,1
ISIC_0024410.jpg,1
ISIC_0024411.jpg,1
ISIC_0024412.jpg,1
ISIC_0024418.jpg,1
ISIC_0024420.jpg,1
ISIC_0024422.jpg,1
ISIC_0024426.jpg,1
ISIC_0024431.jpg,1
ISIC_0024432.jpg,1
ISIC_0024435.jpg,1
ISIC_0024436.jpg,1
ISIC_0024443.jpg,1
ISIC_0024445.jpg,1
ISIC_0024446.jpg,1
ISIC_0024448.jpg,1
ISIC_0024449.jpg,1
ISIC_0024450.jpg,1
ISIC_0024452.jpg,2
ISIC_0024453.jpg,1
ISIC_0024454.jpg,1
ISIC_0024457.jpg,1
ISIC_0024459.jpg,1
ISIC_0024461.jpg,1
ISIC_0024463.jpg,1
ISIC_0024468.jpg,1
ISIC_0024470.jpg,1
ISIC_0024471.jpg,1
ISIC_0024472.jpg,1
ISIC_0024475.jpg,1
ISIC_0024477.jpg,1
ISIC_0024481.jpg,1
ISIC_0024482.jpg,1
ISIC_0024489.jpg,1
ISIC_0024490.jpg,1
ISIC_0024494.jpg,1
ISIC_0024495.jpg,1
ISIC_0024496.jpg,1
ISIC_0024498.jpg,1
ISIC_0024504.jpg,1
ISIC_0024505.jpg,1
ISIC_0024511.jpg,1
ISIC_0024515.jpg,1
ISIC_0024516.jpg,1
ISIC_0024517.jpg,1
ISIC_0024522.jpg,1
ISIC_0024525.jpg,1
ISIC_0024537.jpg,1
ISIC_0024539.jpg,1
ISIC_0024545.jpg,1
ISIC_0024546.jpg,1
ISIC_0024547.jpg,1
ISIC_0024550.jpg,1
ISIC_0024552.jpg,1
ISIC_0024553.jpg,1
ISIC_0024554.jpg,1
ISIC_0024562.jpg,1
ISIC_0024564.jpg,1
ISIC_0024571.jpg,1
ISIC_0024572.jpg,1
ISIC_0024573.jpg,1
ISIC_0024575.jpg,1
ISIC_0024579.jpg,1
ISIC_0024581.jpg,1
ISIC_0024582.jpg,1
ISIC_0024586.jpg,1
ISIC_0024590.jpg,1
ISIC_0024592.jpg,1
ISIC_0024595.jpg,1
ISIC_0024602.jpg,1
ISIC_0024612.jpg,1
ISIC_0024623.jpg,1
ISIC_0024624.jpg,1
ISIC_0024626.jpg,1
ISIC_0024630.jpg,1
ISIC_0024632.jpg,1
ISIC_0024634.jpg,1
ISIC_0024635.jpg,1
ISIC_0024640.jpg,1
ISIC_0024643.jpg,1
ISIC_0024644.jpg,1
ISIC_0024646.jpg,1
ISIC_0024647.jpg,1
ISIC_0024652.jpg,1
ISIC_0024654.jpg,1
ISIC_0024662.jpg,1
ISIC_0024665.jpg,1
ISIC_0024666.jpg,1
ISIC_0024669.jpg,1
ISIC_0024672.jpg,1
ISIC_0024673.jpg,1
ISIC_0024675.jpg,1
ISIC_0024676.jpg,1
ISIC_0024679.jpg,1
ISIC_0024688.jpg,1
ISIC_0024696.jpg,1
