filename,area_ratio_ham
ISIC_0024310.jpg,0.239502
ISIC_0024312.jpg,0.430176
ISIC_0024313.jpg,0.107910
ISIC_0024315.jpg,0.084961
ISIC_0024318.jpg,0.218262
ISIC_0024323.jpg,0.332031
ISIC_0024324.jpg,0.130371
ISIC_0024329.jpg,0.095703
ISIC_0024330.jpg,0.237305
ISIC_0024331.jpg,0.264404
ISIC_0024332.jpg,0.290283
ISIC_0024333.jpg,0.359375
ISIC_0024336.jpg,0.193604
ISIC_0024337.jpg,0.183594
ISIC_0024338.jpg,0.288330
ISIC_0024345.jpg,0.383057
ISIC_0024351.jpg,0.444580
ISIC_0024358.jpg,0.175293
ISIC_0024360.jpg,0.056885
ISIC_0024367.jpg,0.056641
ISIC_0024370.jpg,0.242920
ISIC_0024371.jpg,0.659180
ISIC_0024372.jpg,0.349609
ISIC_0024375.jpg,0.017578
ISIC_0024381.jpg,0.715088
ISIC_0024382.jpg,0.293213
ISIC_0024383.jpg,0.348633
ISIC_0024386.jpg,0.282471
ISIC_0024396.jpg,0.062500
ISIC_0024400.jpg,0.723389
ISIC_0024402.jpg,0.033691
ISIC_0024403.jpg,0.122314
ISIC_0024408.jpg,0.073486
ISIC_0024409.jpg,0.037842
ISIC_0024410.jpg,0.111328
ISIC_0024411.jpg,0.037598
ISIC_0024412.jpg,0.165771
ISIC_0024418.jpg,0.058350
ISIC_0024420.jpg,0.214111
ISIC_0024422.jpg,0.194580
ISIC_0024426.jpg,0.526367
ISIC_0024431.jpg,0.076660
ISIC_0024432.jpg,0.058350
ISIC_0024435.jpg,0.114502
ISIC_0024436.jpg,0.134033
ISIC_0024443.jpg,0.133545
ISIC_0024445.jpg,0.141113
ISIC_0024446.jpg,0.212402
ISIC_0024448.jpg,0.314941
ISIC_0024449.jpg,0.754395
ISIC_0024450.jpg,0.593994
ISIC_0024452.jpg,0.247559
ISIC_0024453.jpg,0.260986
ISIC_0024454.jpg,0.731689
ISIC_0024457.jpg,0.485840
ISIC_0024459.jpg,0.556396
ISIC_0024461.jpg,0.298584
ISIC_0024463.jpg,0.525879
ISIC_0024468.jpg,0.463867
ISIC_0024470.jpg,0.637451
ISIC_0024471.jpg,0.562744
ISIC_0024472.jpg,0.259277
ISIC_0024475.jpg,0.056641
ISIC_0024477.jpg,0.257812
ISIC_0024481.jpg,0.122070
ISIC_0024482.jpg,0.491943
ISIC_0024489.jpg,0.672363
ISIC_0024490.jpg,0.605957
ISIC_0024494.jpg,0.352783
ISIC_0024495.jpg,0.043213
ISIC_0024496.jpg,0.262695
ISIC_0024498.jpg,0.208984
ISIC_0024504.jpg,0.572266
ISIC_0024505.jpg,0.233154
ISIC_0024511.jpg,0.424072
ISIC_0024515.jpg,0.132080
ISIC_0024516.jpg,0.324707
ISIC_0024517.jpg,0.136230
ISIC_0024522.jpg,0.174561
ISIC_0024525.jpg,0.285889
ISIC_0024537.jpg,0.235840
ISIC_0024539.jpg,0.406006
ISIC_0024545.jpg,0.366699
ISIC_0024546.jpg,0.360596
