image_id,fov_px,lesion_px,area_ratio_fov,area_ratio_full,n_components,ma_px,he_px,ex_px,se_px
IDRiD_01,8391862,155657,0.018549,0.012746,139,6941,35430,113286,0
IDRiD_02,8416872,162182,0.019269,0.013280,224,9446,17356,135394,0
IDRiD_03,8418157,478781,0.056875,0.039205,483,11288,162605,301586,3318
IDRiD_04,5771936,65744,0.011390,0.005383,58,804,59383,5557,0
IDRiD_05,8409318,22130,0.002632,0.001812,37,3994,9850,8286,0
IDRiD_06,8074155,94483,0.011702,0.007737,155,9923,25507,59053,0
IDRiD_07,8417413,212046,0.025191,0.017363,391,12623,31951,167489,0
IDRiD_08,8422274,100099,0.011885,0.008197,89,4188,37203,20368,38340
IDRiD_09,8415937,374266,0.044471,0.030647,222,35141,84849,254276,0
IDRiD_10,8415263,931362,0.110675,0.076265,536,33484,92658,805250,0
IDRiD_11,8406722,369127,0.043909,0.030226,569,21345,56797,291123,0
IDRiD_12,7980421,37421,0.004689,0.003064,36,3952,26843,6626,0
IDRiD_13,8415836,357319,0.042458,0.029259,408,34267,37412,214397,71243
IDRiD_14,8416928,264492,0.031424,0.021658,431,25362,62616,165659,10855
IDRiD_15,8418432,47954,0.005696,0.003927,46,2042,3215,42697,0
IDRiD_16,8417459,138339,0.016435,0.011328,88,3872,18663,115804,0
IDRiD_17,7936121,2084938,0.262715,0.170725,327,14207,1821322,201316,48111
IDRiD_18,8412863,261737,0.031112,0.021432,344,24706,89854,106281,40970
IDRiD_19,8416751,168030,0.019964,0.013759,108,6092,62604,17431,81903
IDRiD_20,8416297,276430,0.032845,0.022636,560,26027,66672,183732,0
IDRiD_21,8416105,316309,0.037584,0.025901,426,21573,102308,192428,0
IDRiD_22,8421455,467360,0.055496,0.038270,179,10367,254991,94020,108091
IDRiD_23,8412814,190488,0.022643,0.015598,102,4531,111482,14812,59663
IDRiD_24,8417923,36684,0.004358,0.003004,27,1354,27085,8245,0
IDRiD_25,8412216,995653,0.118358,0.081529,534,23423,332458,616742,23030
IDRiD_26,8415622,126660,0.015051,0.010372,94,19627,104527,2506,0
IDRiD_27,8417233,160821,0.019106,0.013169,351,25746,65344,69734,0
IDRiD_28,8414871,41925,0.004982,0.003433,79,4805,32395,4725,0
IDRiD_29,8419270,9017,0.001071,0.000738,35,4525,2149,2343,0
IDRiD_30,8416768,97874,0.011628,0.008014,79,7308,53438,22501,14627
IDRiD_31,8422408,431094,0.051184,0.035300,158,8156,216935,48998,158077
IDRiD_32,8415398,217439,0.025838,0.017805,134,6068,86486,84975,39910
IDRiD_33,8409685,430737,0.051219,0.035271,623,36212,330744,58229,5571
IDRiD_34,8415325,454642,0.054025,0.037228,138,12563,415359,26720,0
IDRiD_35,8414033,444164,0.052788,0.036370,127,13997,368997,19873,41300
IDRiD_36,8415736,74089,0.008804,0.006067,96,9857,58339,5893,0
IDRiD_37,8415310,82136,0.009760,0.006726,95,6464,50017,25759,0
IDRiD_38,8414835,54454,0.006471,0.004459,117,9359,14028,12551,18516
IDRiD_39,8406708,392406,0.046678,0.032132,277,38066,250350,18733,85288
IDRiD_40,8414820,18013,0.002141,0.001475,59,6592,3642,7779,0
IDRiD_41,8415411,18002,0.002139,0.001474,36,5486,4266,8250,0
IDRiD_42,8415899,32127,0.003817,0.002631,67,2522,4404,25201,0
IDRiD_43,8415931,62255,0.007397,0.005098,86,914,0,61341,0
IDRiD_44,8415267,32635,0.003878,0.002672,85,1932,5906,24798,0
IDRiD_45,8413679,63124,0.007503,0.005169,183,2548,13236,47341,0
IDRiD_46,8414944,325987,0.038739,0.026693,177,11628,192856,21191,100367
IDRiD_47,8416610,144856,0.017211,0.011862,92,3986,68527,38582,33761
IDRiD_48,8418878,368618,0.043785,0.030184,396,22353,133197,154434,58746
IDRiD_49,8416583,458765,0.054507,0.037566,541,16520,178309,221897,42441
IDRiD_50,8378783,196828,0.023491,0.016117,230,5202,34176,120675,36775
IDRiD_51,8415769,160448,0.019065,0.013138,122,14362,48296,19228,78562
IDRiD_52,8416637,22749,0.002703,0.001863,43,6671,3354,2974,9750
IDRiD_53,8419426,137886,0.016377,0.011291,222,26531,91360,10985,9022
IDRiD_54,8416387,102999,0.012238,0.008434,117,24011,38734,9450,30804
